id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_9257,"Каркас теплицы «Веган» 3х4 из оцинкованной квадратной трубы 20х20х1 мм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы. Каркас выдерживает механические нагрузки до 180 кг/м кв. 
 
Срок эксплуатации каркаса теплицы — от 10 лет.",https://fabrika-teplic.com/wp-content/uploads/titan-light-17.png,https://fabrika-teplic.com/vitrina/karkas-tepliczy-vegan-3h4-iz-oczinkovannoj-kvadratnoj-truby-20h20h1-mm/,"Каркасы теплиц, Теплицы","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",3500UAH,in stock,wc_post_id_9257,https://fabrika-teplic.com/korzina/?add-to-cart=9257,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3500UAH,new,published,,
wc_post_id_9161,"Теплица «Веган» 4х10 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 1200 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-06.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-4h10x22-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",6700UAH,in stock,wc_post_id_9161,https://fabrika-teplic.com/korzina/?add-to-cart=9161,"https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-04.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-03.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-06.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6700UAH,new,published,,
wc_post_id_9160,"Теплица «Веган» 4х8 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 1200 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-06.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-4h8x22-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",6150UAH,in stock,wc_post_id_9160,https://fabrika-teplic.com/korzina/?add-to-cart=9160,"https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-04.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-03.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-06.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6150UAH,new,published,,
wc_post_id_9159,"Теплица «Веган» 4х6 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 1200 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-06.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-4h6x22-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",5500UAH,in stock,wc_post_id_9159,https://fabrika-teplic.com/korzina/?add-to-cart=9159,"https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-04.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-03.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-fl-4m-06.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5500UAH,new,published,,
wc_post_id_9158,"Теплица «Веган» 3х10 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
Стоимость каркаса без плёнки — 5 350 грн. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 1000 грн.",https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-00-2.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-3h10x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",6350UAH,in stock,wc_post_id_9158,https://fabrika-teplic.com/korzina/?add-to-cart=9158,"https://fabrika-teplic.com/wp-content/uploads/main-02.png,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-24.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-10.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-11.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-12.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6350UAH,new,published,,
wc_post_id_9157,"Теплица «Веган» 3х8 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
Стоимость каркаса без плёнки — 4 700 грн. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 1000 грн.",https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-00-2.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-3h8x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",5550UAH,in stock,wc_post_id_9157,https://fabrika-teplic.com/korzina/?add-to-cart=9157,"https://fabrika-teplic.com/wp-content/uploads/main-02.png,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-24.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-10.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-11.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-12.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5550UAH,new,published,,
wc_post_id_9156,"Теплица «Веган» 3х6 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
Стоимость каркаса без плёнки — 4 100 грн. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 1000 грн.",https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-00-2.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-3h6x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",4700UAH,in stock,wc_post_id_9156,https://fabrika-teplic.com/korzina/?add-to-cart=9156,"https://fabrika-teplic.com/wp-content/uploads/main-02.png,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-24.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-10.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-12.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-11.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4700UAH,new,published,,
wc_post_id_9155,"Теплица «Веган» 3x4 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
Стоимость каркаса без плёнки — 3 500 грн. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 1000 грн.",https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-00-2.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-3x4x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",3850UAH,in stock,wc_post_id_9155,https://fabrika-teplic.com/korzina/?add-to-cart=9155,"https://fabrika-teplic.com/wp-content/uploads/main-02.png,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-24.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-10.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-11.jpg,https://fabrika-teplic.com/wp-content/uploads/teplicza-plenka-12.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3850UAH,new,published,,
wc_post_id_9154,"Теплица «Веган» 2x6 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 800 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-thumb-11.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2x6x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",4300UAH,in stock,wc_post_id_9154,https://fabrika-teplic.com/korzina/?add-to-cart=9154,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-08.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-11.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4300UAH,new,published,,
wc_post_id_9153,"Теплица «Веган» 2x4 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 800 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-thumb-11.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2x4x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",3550UAH,in stock,wc_post_id_9153,https://fabrika-teplic.com/korzina/?add-to-cart=9153,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-08.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-11.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3550UAH,new,published,,
wc_post_id_9152,"Теплица «Веган» 2x3 из оцинкованной квадратной трубы с пленкой 120 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 800 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-thumb-11.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2x3x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-120-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",3150UAH,in stock,wc_post_id_9152,https://fabrika-teplic.com/korzina/?add-to-cart=9152,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-08.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-11.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3150UAH,new,published,,
wc_post_id_9086,"Теплица «Веган» 2x6 из оцинкованной квадратной трубы с пленкой 150 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 800 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-thumb-11.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2x6x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-150-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",4600UAH,in stock,wc_post_id_9086,https://fabrika-teplic.com/korzina/?add-to-cart=9086,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-08.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-11.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4600UAH,new,published,,
wc_post_id_9084,"Теплица «Веган» 2x4 из оцинкованной квадратной трубы с пленкой 150 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 800 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-thumb-11.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2x4x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-150-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",3750UAH,in stock,wc_post_id_9084,https://fabrika-teplic.com/korzina/?add-to-cart=9084,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-08.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-11.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3750UAH,new,published,,
wc_post_id_9056,"Теплица «Веган» 2x3 из оцинкованной квадратной трубы с пленкой 150 мкм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. Срок эксплуатации теплицы — от 10 лет. 
 
В стандартной комплектации теплицы плёнка крепится к каркасу прижимными планками. В расширенной комплектации для крепления плёнки используется зигзаг-профиль. Стоимость теплицы с зигзаг-профилем выше на 800 грн.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-thumb-11.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2x3x2-iz-oczinkovannoj-kvadratnoj-truby-s-plenkoj-150-mkm/,"Теплицы, Теплицы «Веган» с пленкой, Теплицы с пленкой","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",3300UAH,in stock,wc_post_id_9056,https://fabrika-teplic.com/korzina/?add-to-cart=9056,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-02.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-08.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-11.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-01.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-fl-03.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3300UAH,new,published,,
wc_post_id_9046,"Теплица «Веган» 2х6 из оцинкованной квадратной трубы с поликарбонатом Soton 6 мм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. 
 
Для накрытия каркаса используется сотовый поликарбонат изготавливаемый специально для теплиц, обладающий высоким уровнем защиты от УФ-лучей. Поликарбонат Soton украинского производства. 
 
Срок эксплуатации теплицы — от 10 лет.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-00.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2h6h2-iz-oczinkovannoj-kvadratnoj-truby-s-polikarbonatom-soton-nano-6-mm/,"Теплицы, Теплицы «Веган» с поликарбонатом, Теплицы с поликарбонатом","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",9800UAH,in stock,wc_post_id_9046,https://fabrika-teplic.com/korzina/?add-to-cart=9046,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-18.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-17.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-21.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-22.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-23-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,9800UAH,new,published,,
wc_post_id_9044,"Теплица «Веган» 2х6 из оцинкованной квадратной трубы с поликарбонатом Soton 4 мм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. 
 
Для накрытия каркаса используется сотовый поликарбонат изготавливаемый специально для теплиц, обладающий высоким уровнем защиты от УФ-лучей. Поликарбонат Soton украинского производства. 
 
Срок эксплуатации теплицы — от 10 лет.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-00.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2h6h2-iz-oczinkovannoj-kvadratnoj-truby-s-polikarbonatom-soton-nano-4-mm/,"Теплицы, Теплицы «Веган» с поликарбонатом, Теплицы с поликарбонатом","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",7450UAH,in stock,wc_post_id_9044,https://fabrika-teplic.com/korzina/?add-to-cart=9044,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-18.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-17.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-21.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-22.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-23-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7450UAH,new,published,,
wc_post_id_9043,"Теплица «Веган» 2х4 из оцинкованной квадратной трубы с поликарбонатом Soton 4 мм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. 
 
Для накрытия каркаса используется сотовый поликарбонат изготавливаемый специально для теплиц, обладающий высоким уровнем защиты от УФ-лучей. Поликарбонат Soton украинского производства. 
 
Срок эксплуатации теплицы — от 10 лет.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-00.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2h4h2-iz-oczinkovannoj-kvadratnoj-truby-s-polikarbonatom-soton-nano-4-mm/,"Теплицы, Теплицы «Веган» с поликарбонатом, Теплицы с поликарбонатом","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",5750UAH,in stock,wc_post_id_9043,https://fabrika-teplic.com/korzina/?add-to-cart=9043,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-18.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-17.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-21.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-22.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-23-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5750UAH,new,published,,
wc_post_id_9041,"Теплица «Веган» 2х4 из оцинкованной квадратной трубы с поликарбонатом Soton 6 мм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. 
 
Для накрытия каркаса используется сотовый поликарбонат изготавливаемый специально для теплиц, обладающий высоким уровнем защиты от УФ-лучей. Поликарбонат Soton украинского производства. 
 
Срок эксплуатации теплицы — от 10 лет.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-00.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2h4h2-iz-oczinkovannoj-kvadratnoj-truby-s-polikarbonatom-soton-nano-6-mm/,"Теплицы, Теплицы «Веган» с поликарбонатом, Теплицы с поликарбонатом","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",7450UAH,in stock,wc_post_id_9041,https://fabrika-teplic.com/korzina/?add-to-cart=9041,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-18.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-17.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-21.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-22.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-23-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,7450UAH,new,published,,
wc_post_id_9040,"Теплица «Веган» 2х3 из оцинкованной квадратной трубы с поликарбонатом Soton 6 мм","Каркас теплицы «Веган» изготовлен из квадратной оцинкованной трубы 20х20 мм с толщиной стенки 1 мм. Покрытие цинком обеспечивает антикоррозийность и длительный срок службы каркаса. Теплица выдерживает механические нагрузки до 180 кг/м кв. 
 
Для накрытия каркаса используется сотовый поликарбонат изготавливаемый специально для теплиц, обладающий высоким уровнем защиты от УФ-лучей. Поликарбонат Soton украинского производства. 
 
Срок эксплуатации теплицы — от 10 лет.",https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-00.png,https://fabrika-teplic.com/vitrina/teplicza-vegan-2h3h2-iz-oczinkovannoj-kvadratnoj-truby-s-polikarbonatom-soton-nano-6-mm/,"Теплицы, Теплицы «Веган» с поликарбонатом, Теплицы с поликарбонатом","Фабрика теплиц «Гринхаус» — теплицы с плёнкой и поликарбонатом",6200UAH,in stock,wc_post_id_9040,https://fabrika-teplic.com/korzina/?add-to-cart=9040,"https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-18.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-17.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-21.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-22.jpg,https://fabrika-teplic.com/wp-content/uploads/vegan-2m-pc-23-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6200UAH,new,published,,
